nombre,descripcion
Fotografia del comercio al  Interior,
Fotografia del comercio al exterior,
Poder notarial,(en caso de Persona Moral)
Constancia de aeronaútica civil.,
Contrato de arrendamiento,
Dictamen de factivilidad vial.,
Dictamen de Instalaciones Electricas por parte de un Corresponsable de Instalaciones Electromecanicas.,igual que protección civil
Dictamen de NO Afectacion de Escurrimientos Pluviales de la CONAGUA.,
Dictamen de seguridad y operación por parte del D.R.O,
Dictamen favorable de so de suelo por parte de Gobierno del Estado de B.C.S.,
Estudio de impacto urbano,
Firma de conformidad de vecino colindante.,
Póliza de Seguros contra daños a terceros.,
Resolutivo uso de suelo,